"","value"
"168",1.78875257564051
"169",2.34706901254963
"170",1.86079685323009
"171",5.79549411186486
"172",2.75526121554944
"173",5.34205566269071
"174",2.22835943402509
"175",3.69342275677799
"176",3.34270397804044
"177",3.10331139998754
"178",4.58070463018604
"179",5.97890541842158
"180",3.08677364645314
"181",1.96000291229527
"182",2.85199033845272
"183",2.33577758559912
"184",3.11306603479875
"185",7.21224914215031
"186",3.4896615475688
"187",0.991493747721105
"188",5.88677443998284
"189",1.72250562958092
"190",2.9900972043353
"191",3.29773968205558
"192",3.49649028763065
"193",4.97704268141259
"194",2.12747501659991
"195",2.107750058906
"196",3.84179583505705
"197",4.44200204590724
"198",3.31305295181794
"199",2.34510667631652
"200",2.14927614941923
"201",2.49814460491724
"202",1.58817387935416
"203",6.1708421214635
"204",5.33595755950195
"205",5.40551482518395
"206",2.62256816436394
"207",2.14713805463171
"208",2.30951548816748
"209",3.05964545917777
"210",1.28937003178712
"211",4.62250794498492
"212",3.62280949549066
"213",2.88258597919963
"214",5.23364488959964
"215",1.42553489354158
"216",1.56906887066156
"217",3.40448397373721
"218",2.29489015234458
"219",3.90898305029061
"220",3.24567862539381
"221",2.01379649302495
"222",5.74478801627733
"223",1.42384470187229
"224",3.75340239762386
"225",2.54008364587541
"226",2.74706743921546
"227",2.56628606998378
"228",4.99532401376153
"229",0.93060562841116
"230",3.60685188425362
"231",2.75241407839923
"232",4.56216626140275
"233",4.31550360574862
"234",3.12871385970893
"235",1.1498144023679
"236",2.26446439058271
"237",5.10536643524169
"238",2.11310076837583
"239",4.86177060253086
"240",3.03315245304107
"241",4.32359658061512
"242",2.42036882936441
"243",1.87356651967926
"244",4.5884796109198
"245",3.06354634336682
"246",2.31953554691335
"247",6.21873190819878
"248",4.30239150251214
"249",1.7820478151584
"250",2.94218093916169
"251",4.10018020843863
"252",4.72222474045865
"253",1.80943399786406
"254",3.580744100456
"255",4.43221440840928
"256",3.34862264835134
"257",2.08651589320667
"258",1.94494372821329
"259",2.83215916271653
"260",4.51969833171555
"261",3.88213780198266
"262",1.71565642285939
"263",2.60866535865587
"264",1.56514888862831
"265",1.84055972732633
"266",3.35363119017115
"267",3.40004065847704
"268",4.30600927805129
"269",5.91548972761856
"270",1.41707879977117
"271",2.80697567884915
"272",1.11958512790633
"273",1.55349596300832
"274",1.97212132201226
"275",2.15493128100336
"276",2.37162274246554
"277",2.74792591184919
"278",2.36534394117795
"279",2.41608670403102
"280",1.51058723260126
"281",4.16177698611759
"282",6.67871034241393
"283",1.90033831622944
"284",3.3928920710586
"285",1.07602951162177
"286",2.9808855335033
"287",2.66242055938296
"288",2.13101454231539
"289",3.88868503786826
"290",1.39626114795179
"291",2.86359579083133
"292",5.41996657684816
"293",3.84502829831059
"294",3.31054463647882
"295",3.3555848214301
"296",2.46326815162909
"297",5.10130472802011
"298",4.41813222431009
"299",2.97380237181059
"300",1.95372776254342
"301",0.625088789307638
"302",2.70828835690312
"303",1.23840669897224
"304",3.94710476756401
"305",6.31585869077527
"306",1.75375291965189
"307",1.93709376646875
"308",2.57512414840155
"309",3.35812806659411
"310",2.69293633774556
"311",1.12489162187432
"312",1.8579519644175
"313",1.96033449693877
"314",2.5743956945666
"315",1.73367776166511
"316",1.7666992608723
"317",2.87162299777004
"318",5.12010024991621
"319",5.30771366842476
"320",1.11869427910855
"321",3.46548163947306
"322",2.74542230213484
"323",1.79427757898205
"324",4.80136845343322
"325",2.37824825684157
"326",2.33357585875483
"327",2.02023691078179
"328",2.04382324425465
"329",2.91701554468374
"330",2.56361629289762
"331",5.62031759256786
"332",2.06019787223033
"333",2.70979640379205
"334",1.48979098082546
"335",2.90073294249207
"336",3.59556292646005
"337",0.681723942415679
"338",2.68966254249053
"339",3.6182920298216
"340",1.63685188869464
"341",3.12039259012696
"342",8.99972527412864
"343",5.97106759248527
"344",1.30203997045119
"345",1.44271051347204
"346",1.56592530887564
"347",1.50265799983287
"348",2.24636958247982
"349",1.63550414821217
"350",1.64592893145135
"351",1.83368000512441
"352",3.3272005306355
"353",1.61744370876328
"354",4.50218112599954
"355",1.07853896878069
"356",1.89585545906614
"357",1.52664989823263
"358",1.50684304687575
"359",0.994404194051143
"360",3.90199565462084
"361",1.8309975535306
"362",3.26612843593024
"363",4.55624340347114
"364",4.39808447150293
"365",5.06118238858473
"366",1.46246912744993
"367",1.23261491025549
"368",2.42919252337154
"369",2.05739490146268
"370",3.05561437879732
"371",1.32629136986475
"372",1.08288198073326
"373",6.6713887656234
"374",4.91748440831319
"375",4.73308707616517
"376",6.47428338487618
"377",2.22987891496182
"378",0.823278092226451
"379",1.72109617015387
"380",2.26563208753267
"381",2.30757675792522
"382",5.82053891018393
"383",3.52057718549038
"384",2.75810534509799
"385",1.48511172791606
"386",2.42389651520364
"387",3.22412716810553
"388",3.87503832331262
"389",1.32291736195221
"390",2.59330367489028
"391",2.81869729096836
"392",0.819116500386767
"393",3.78964388470364
"394",2.96312647962031
"395",2.20141046014637
"396",3.2247888825261
"397",3.00624079768804
"398",2.23404012363568
"399",5.44466129154813
"400",1.23738584046641
